_step,fixed_seq/train/psnr_frame_7,fixed_seq/train/ssim_frame_12,fixed_seq/val/psnr_frame_6,fixed_seq/train/mse_frame_1,fixed_seq/val/mse_frame_12,fixed_seq/val/mse_frame_6,fixed_seq/train/psnr_frame_12,fixed_seq/val/psnr_frame_10,fixed_seq/train/ssim_frame_0,fixed_seq/train/mse_frame_2,fixed_seq/val/ssim_frame_12,fixed_seq/val/psnr_frame_4,fixed_seq/val/ssim_frame_2,fixed_seq/train/mse_frame_8,fixed_seq/train/mse_frame_11,fixed_seq/train/ssim_frame_10,fixed_seq/train/mse_frame_3,fixed_seq/val/mse_frame_3,fixed_seq/val/mse_frame_2,fixed_seq/train/ssim_frame_1,fixed_seq/val/psnr_frame_1,fixed_seq/val/ssim_frame_3,fixed_seq/val/psnr_frame_3,fixed_seq/val/psnr_frame_2,fixed_seq/train/mse_frame_0,fixed_seq/val/mse_frame_4,fixed_seq/train/psnr_frame_9,fixed_seq/val/psnr_frame_12,fixed_seq/train/ssim_frame_3,fixed_seq/val/psnr_frame_0,fixed_seq/val/mse_frame_7,fixed_seq/val/mse_frame_9,fixed_seq/train/psnr_frame_10,fixed_seq/train/ssim_frame_7,fixed_seq/epoch,fixed_seq/val/ssim_frame_8,fixed_seq/val/ssim_frame_7,fixed_seq/val/ssim_frame_1,fixed_seq/val/ssim_frame_10,fixed_seq/train/mse_frame_7,fixed_seq/val/psnr_frame_9,fixed_seq/val/ssim_frame_9,fixed_seq/train/psnr_frame_0,fixed_seq/train/mse_frame_12,fixed_seq/train/ssim_frame_5,fixed_seq/train/psnr_frame_11,fixed_seq/val/ssim_frame_0,fixed_seq/val/psnr_frame_11,fixed_seq/train/mse_frame_4,fixed_seq/val/mse_frame_0,fixed_seq/train/ssim_frame_2,fixed_seq/train/ssim_frame_9,fixed_seq/val/ssim_frame_6,fixed_seq/val/mse_frame_8,fixed_seq/train/psnr_frame_2,fixed_seq/train/mse_frame_6,fixed_seq/val/mse_frame_10,fixed_seq/train/ssim_frame_6,fixed_seq/val/ssim_frame_4,fixed_seq/train/ssim_frame_11,fixed_seq/train/psnr_frame_6,fixed_seq/train/ssim_frame_4,fixed_seq/val/ssim_frame_5,fixed_seq/train/mse_frame_5,fixed_seq/val/psnr_frame_5,fixed_seq/val/mse_frame_11,fixed_seq/train/mse_frame_9,fixed_seq/train/psnr_frame_4,fixed_seq/val/mse_frame_5,fixed_seq/val/psnr_frame_8,fixed_seq/train/psnr_frame_1,fixed_seq/train/psnr_frame_8,fixed_seq/train/psnr_frame_3,fixed_seq/train/ssim_frame_8,fixed_seq/val/ssim_frame_11,fixed_seq/name,fixed_seq/val/mse_frame_1,fixed_seq/val/psnr_frame_7,fixed_seq/train/mse_frame_10,fixed_seq/train/psnr_frame_5
6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7200,25.0,0.9921875,22.5,0.0036468505859375,0.004241943359375,0.005584716796875,25.75,23.0,0.99609375,0.003143310546875,0.98046875,24.875,0.98046875,0.00286865234375,0.0027008056640625,0.98828125,0.002777099609375,0.00360107421875,0.00433349609375,0.984375,24.25,0.984375,24.375,23.625,0.00156402587890625,0.0033111572265625,24.375,23.75,0.98828125,28.0,0.0035552978515625,0.00445556640625,25.0,0.98828125,20.0,0.984375,0.984375,0.98046875,0.96484375,0.0031280517578125,23.5,0.97265625,28.125,0.0026092529296875,0.984375,25.625,0.98828125,24.375,0.003387451171875,0.00160980224609375,0.984375,0.98828125,0.96484375,0.0037078857421875,25.0,0.00396728515625,0.005096435546875,0.984375,0.984375,0.9921875,24.0,0.98828125,0.96875,0.00408935546875,23.0,0.003631591796875,0.0036773681640625,24.75,0.005035400390625,24.375,24.375,25.5,25.625,0.98828125,0.98046875,EXP-1-head,0.0037994384765625,24.5,0.0031280517578125,23.875
7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,26.125,0.98828125,25.5,0.00225830078125,0.0029449462890625,0.00286865234375,26.5,25.25,0.99609375,0.0024261474609375,0.98828125,26.25,0.98046875,0.002227783203125,0.0022430419921875,0.9921875,0.002227783203125,0.0027923583984375,0.0027618408203125,0.9921875,26.375,0.98828125,25.5,25.625,0.0012359619140625,0.0023956298828125,26.25,25.25,0.98828125,29.25,0.0028533935546875,0.003387451171875,26.25,0.9921875,25.0,0.9921875,0.984375,0.984375,0.98046875,0.0024871826171875,24.75,0.98046875,29.0,0.002197265625,0.98828125,26.5,0.9921875,24.75,0.00213623046875,0.00119781494140625,0.98828125,0.98828125,0.9765625,0.00311279296875,26.125,0.0025787353515625,0.0029754638671875,0.98828125,0.9921875,0.9921875,26.0,0.98828125,0.9765625,0.0029296875,24.375,0.0033721923828125,0.00238037109375,26.75,0.00360107421875,25.125,26.375,26.5,26.5,0.99609375,0.98046875,EXP-1-head,0.002288818359375,25.5,0.0023651123046875,25.25
9050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
